,text,labels
0,এতো সুন্দর প্রতিবেদন মনে হয় খালি দেখেই যাই,0
1,এতো সুন্দর প্রতিবেদন মনে হয় খালি দেখেই যাই,4
2,"অসাধারণ ভাই,ভালো লেগেছে।",0
3,"অসাধারণ ভাই,ভালো লেগেছে।",4
4,মোটামুটি....তবে দাম টা অন্যদের তুলনায় কম।,0
5,মোটামুটি....তবে দাম টা অন্যদের তুলনায় কম।,5
6,ইভিলি বাংলাদেশের সেরা আনলাইনে সেরা ইভিলির পন্য মানুষ  পতারিত হয় না,0
7,ইভিলি বাংলাদেশের সেরা আনলাইনে সেরা ইভিলির পন্য মানুষ  পতারিত হয় না,5
8,আমি আপনার দূতকে সম্মানের সাথে আপ্যায়ন করার চেষ্টা করেছি,0
9,আমি আপনার দূতকে সম্মানের সাথে আপ্যায়ন করার চেষ্টা করেছি,5
10,অল্প দামের মধ্যে ভালো জিনিস,0
11,অল্প দামের মধ্যে ভালো জিনিস,4
12,আর ব্রাউজার ভার্সন তো থাকছেই,4
13,আর ব্রাউজার ভার্সন তো থাকছেই,0
14,নতুন সপ্তাহে আরেকটি পেইড অ্যাপ ফ্রিতে ডাউনলোড করা যাবে,5
15,নতুন সপ্তাহে আরেকটি পেইড অ্যাপ ফ্রিতে ডাউনলোড করা যাবে,0
16,৩জি সিমটি ৪জি-তে রিপ্লেস করুন সম্পূ্র্ন ফ্রি!,0
17,৩জি সিমটি ৪জি-তে রিপ্লেস করুন সম্পূ্র্ন ফ্রি!,4
18,নায়ক ইলিয়াস যেন বেচে থাকুন সংগ্রামে রাজপথে।,0
19,নায়ক ইলিয়াস যেন বেচে থাকুন সংগ্রামে রাজপথে।,5
20,ধন্যবাদ...প্রডাক্ট টা খুবই ভালো...এতো কম দামে এটা পাবো ভাবিও নি,0
21,ধন্যবাদ...প্রডাক্ট টা খুবই ভালো...এতো কম দামে এটা পাবো ভাবিও নি,4
22,"আপনার এ আলোচনা দারুন লাগে,আরো চাই,আচ্ছা আপনি কী এডসেন্স করেছেন?",0
23,"আপনার এ আলোচনা দারুন লাগে,আরো চাই,আচ্ছা আপনি কী এডসেন্স করেছেন?",5
24,এক্সেল ব্যবহারকরে কিভাবে সেলারি শীট তৈরি করতে হয় সে বিষয় নিয়ে আলোচনা থাকবে আজকের টিউটোরিয়াল এ,0
25,এক্সেল ব্যবহারকরে কিভাবে সেলারি শীট তৈরি করতে হয় সে বিষয় নিয়ে আলোচনা থাকবে আজকের টিউটোরিয়াল এ,5
26,"মনযোগ দিয়ে দেখুন, অনুশীলন করুন এবং কোন সমস্যা হলে কমেন্ট করুন",0
27,"মনযোগ দিয়ে দেখুন, অনুশীলন করুন এবং কোন সমস্যা হলে কমেন্ট করুন",5
28,আজ লিটন দাদায় ফাটিয়ে দিয়েছেন  বাহ বাহ,0
29,আজ লিটন দাদায় ফাটিয়ে দিয়েছেন  বাহ বাহ,4
30,৩০ তারিখের পর তারা বিদেশে চলে যাবে।,0
31,৩০ তারিখের পর তারা বিদেশে চলে যাবে।,4
32,সবাই দাবী তুলুন ৭ দিনের নিচে প্যাকজ নয়।,0
33,সবাই দাবী তুলুন ৭ দিনের নিচে প্যাকজ নয়।,5
34,কারন জনগন ও ভৌগলিক অবস্থা বাংলার বেশি।,0
35,কারন জনগন ও ভৌগলিক অবস্থা বাংলার বেশি।,4
36,হোয়াটসঅ্যাপ চালু করেছে নতুন লাইভ লোকেশন ফিচার যার মাধ্যমে ব্যবহারকারীরা তাদের রিয়েল-টাইম লোকেশন অন্যদের সাথে শেয়ার করতে পারবেন,0
37,হোয়াটসঅ্যাপ চালু করেছে নতুন লাইভ লোকেশন ফিচার যার মাধ্যমে ব্যবহারকারীরা তাদের রিয়েল-টাইম লোকেশন অন্যদের সাথে শেয়ার করতে পারবেন,5
38,অসাধারণ আজিজ ভাই।,0
39,অসাধারণ আজিজ ভাই।,4
40,অন্তিক মাহমুদও আছে দেখি😄,0
41,অন্তিক মাহমুদও আছে দেখি😄,4
